,Date,IUCR,Location Description,Arrest,District,Ward,Community Area,Location,VIN,ATTEMPT,RECOVERY
361891,12/09/2015 10:00:00 PM,AUTOMOBILE,STREET,False,2.0,3.0,38.0,"(41.805139969, -87.621104286)",1,0,0
1190,09/25/2005 06:00:00 PM,AUTOMOBILE,STREET,False,2.0,4.0,35.0,"(41.829868313, -87.613135895)",1,0,0
346802,06/01/2014 12:01:00 AM,AUTOMOBILE,STREET,False,25.0,31.0,19.0,"(41.924474033, -87.746310985)",1,0,0
53777,08/25/2022 10:00:00 PM,AUTOMOBILE,STREET,False,12.0,11.0,28.0,"(41.861698243, -87.651688112)",1,0,0
366485,05/12/2016 10:00:00 AM,AUTOMOBILE,STREET,False,3.0,5.0,43.0,"(41.771215385, -87.572767656)",1,0,0
28366,08/17/2024 10:00:00 PM,AUTOMOBILE,STREET,False,2.0,4.0,36.0,"(41.823665846, -87.603072021)",1,0,0
22507,05/19/2024 01:00:00 AM,AUTOMOBILE,STREET,False,8.0,18.0,70.0,"(41.744534224, -87.711745392)",1,1,0
275233,12/21/2009 03:00:00 PM,AUTOMOBILE,STREET,False,2.0,20.0,40.0,"(41.789057836, -87.606108761)",1,0,1
135886,04/13/2023 02:44:00 PM,AUTOMOBILE,PARKINGZONE,False,2.0,3.0,38.0,"(41.808669685, -87.621197237)",1,0,0
294812,01/07/2011 06:45:00 PM,"TRUCK, BUS, MOTOR HOME",HOUSE,False,5.0,34.0,49.0,"(41.687095871, -87.626350763)",1,0,0
10890,11/17/2023 07:00:00 PM,AUTOMOBILE,STREET,False,12.0,28.0,28.0,"(41.870068218, -87.662878091)",1,0,0
218726,12/28/2003 10:30:00 PM,AUTOMOBILE,STREET,False,25.0,31.0,20.0,"(41.935306233, -87.737398384)",1,0,0
102998,06/24/2007 10:00:00 PM,AUTOMOBILE,STREET,False,2.0,20.0,40.0,"(41.792960866, -87.618455799)",1,0,0
239350,12/29/2004 01:39:45 PM,AUTOMOBILE,STREET,False,18.0,27.0,8.0,"(41.897575979, -87.640595978)",1,0,0
344638,06/20/2014 12:01:00 AM,AUTOMOBILE,STREET,False,8.0,15.0,66.0,"(41.783982565, -87.686215293)",1,0,0
114554,12/26/2007 09:30:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,8.0,14.0,57.0,"(41.820168021, -87.726309162)",1,0,0
299779,03/11/2011 10:30:00 PM,AUTOMOBILE,STREET,False,6.0,21.0,71.0,"(41.748637183, -87.656418152)",1,0,0
274636,01/14/2010 01:00:00 PM,AUTOMOBILE,STREET,False,12.0,1.0,24.0,"(41.896066493, -87.674613292)",1,0,0
166926,10/16/2001 01:30:00 AM,AUTOMOBILE,STREET,False,8.0,13.0,62.0,"(41.785904469, -87.736565609)",1,0,0
229066,04/13/2004 09:40:00 PM,AUTOMOBILE,PARKINGZONE,False,24.0,50.0,2.0,"(41.999108258, -87.677363005)",1,0,0
335161,06/14/2013 12:30:00 AM,AUTOMOBILE,STREET,False,8.0,13.0,70.0,"(41.751863134, -87.739017586)",1,0,0
259906,02/18/2009 01:30:00 PM,AUTOMOBILE,STREET,False,10.0,12.0,30.0,"(41.846412453, -87.698567915)",1,0,0
398630,06/15/2019 07:00:00 PM,AUTOMOBILE,STREET,False,15.0,29.0,25.0,"(41.884664028, -87.773369922)",1,0,0
233573,08/08/2004 10:00:00 PM,AUTOMOBILE,STREET,False,4.0,10.0,52.0,"(41.698193282, -87.536491591)",1,0,0
349323,10/11/2014 01:30:00 PM,AUTOMOBILE,Alcohol,False,10.0,24.0,29.0,"(41.858252197, -87.726162043)",1,0,0
359098,12/12/2015 03:15:00 PM,AUTOMOBILE,STREET,False,18.0,42.0,8.0,"(41.892571811, -87.621959165)",1,0,0
320979,06/25/2012 04:00:00 PM,AUTOMOBILE,STREET,False,12.0,2.0,28.0,"(41.874077392, -87.674225948)",1,0,0
298287,05/25/2011 04:00:00 AM,AUTOMOBILE,STREET,False,8.0,18.0,70.0,"(41.752479867, -87.707355257)",1,0,0
54296,08/29/2022 12:00:00 AM,AUTOMOBILE,STREET,False,2.0,4.0,38.0,"(41.804012702, -87.61066005)",1,0,0
224431,05/23/2004 03:00:00 PM,AUTOMOBILE,STREET,False,9.0,20.0,61.0,"(41.806046461, -87.663681723)",1,0,0
66400,12/30/2022 01:00:00 PM,AUTOMOBILE,PARKINGZONE,False,1.0,42.0,32.0,"(41.882575215, -87.62785015)",1,0,0
110921,10/31/2007 08:00:00 PM,AUTOMOBILE,STREET,False,20.0,48.0,77.0,"(41.987970689, -87.65675023)",1,0,0
344623,05/03/2014 10:30:00 PM,AUTOMOBILE,STREET,False,24.0,50.0,2.0,"(42.005446489, -87.685914799)",1,0,0
263776,05/06/2009 08:00:00 PM,AUTOMOBILE,STREET,False,8.0,15.0,66.0,"(41.772933512, -87.694457492)",1,0,0
332754,05/11/2013 10:30:00 PM,AUTOMOBILE,STREET,False,10.0,25.0,31.0,"(41.851289987, -87.674379187)",1,0,0
22829,04/10/2022 12:00:00 PM,AUTOMOBILE,STREET,False,6.0,17.0,71.0,"(41.740810145, -87.65590677)",1,0,0
6347,09/30/2023 04:59:00 PM,AUTOMOBILE,PARKINGZONE,False,16.0,41.0,76.0,"(41.987404624, -87.843494002)",1,0,0
18885,03/17/2024 07:42:00 PM,AUTOMOBILE,STREET,False,6.0,6.0,44.0,"(41.746361583, -87.632971211)",1,0,1
135664,07/10/2023 03:40:00 PM,AUTOMOBILE,STREET,False,5.0,9.0,49.0,"(41.694396558, -87.623802965)",1,1,0
62078,12/20/2022 12:30:00 PM,AUTOMOBILE,STREET,False,12.0,28.0,28.0,"(41.873335562, -87.662697078)",1,1,0
359093,08/03/2015 07:45:00 AM,AUTOMOBILE,STREET,False,4.0,8.0,48.0,"(41.735845267, -87.581699904)",1,0,0
88938,09/23/2006 12:00:00 AM,AUTOMOBILE,STREET,False,4.0,8.0,48.0,"(41.725517831, -87.586659463)",1,0,0
390582,03/02/2018 07:15:00 PM,AUTOMOBILE,JAIL,False,10.0,25.0,31.0,"(41.851986737, -87.689325583)",1,0,0
185592,07/03/2002 02:28:47 PM,AUTOMOBILE,STREET,False,15.0,29.0,25.0,"(41.876556522, -87.76313002)",1,0,1
316120,01/05/2012 05:30:00 PM,AUTOMOBILE,STREET,False,25.0,31.0,20.0,"(41.923625102, -87.729195173)",1,0,0
323857,05/22/2012 10:00:00 PM,AUTOMOBILE,STREET,False,9.0,11.0,60.0,"(41.824392462, -87.644738816)",1,0,0
361646,09/08/2015 10:00:00 PM,AUTOMOBILE,STREET,False,8.0,14.0,63.0,"(41.796163402, -87.709842189)",1,0,0
12501,12/09/2023 11:00:00 PM,AUTOMOBILE,STREET,False,24.0,49.0,1.0,"(41.998129171, -87.666038464)",1,0,0
85154,07/18/2006 10:00:00 PM,AUTOMOBILE,STREET,False,10.0,24.0,29.0,"(41.865638273, -87.716616622)",1,0,0
115960,12/20/2007 06:30:00 PM,AUTOMOBILE,STREET,False,12.0,26.0,24.0,"(41.899283298, -87.697100567)",1,0,0
249190,03/07/2005 09:00:00 PM,AUTOMOBILE,STREET,False,16.0,45.0,11.0,"(41.970301302, -87.778636535)",1,0,1
403353,09/25/2019 12:30:00 AM,"CYCLE, SCOOTER, BIKE",STREET,False,19.0,46.0,6.0,"(41.953494639, -87.655710634)",1,0,0
391651,04/25/2018 10:30:00 PM,AUTOMOBILE,STREET,False,6.0,6.0,69.0,"(41.757808085, -87.623137903)",1,0,0
56778,02/01/2023 04:00:00 AM,AUTOMOBILE,STREET,False,4.0,8.0,45.0,"(41.741601712, -87.590390167)",1,0,0
189235,06/16/2002 03:00:00 AM,AUTOMOBILE,STREET,False,8.0,23.0,56.0,"(41.808673149, -87.744409299)",1,0,0
339664,07/28/2013 09:00:00 PM,AUTOMOBILE,STREET,False,4.0,10.0,52.0,"(41.695046039, -87.541327047)",1,0,0
254662,06/11/2005 12:00:00 PM,AUTOMOBILE,STREET,False,18.0,42.0,8.0,"(41.89798224, -87.630229738)",1,0,0
323493,07/13/2012 09:00:00 PM,AUTOMOBILE,HOUSE,False,6.0,8.0,69.0,"(41.752654988, -87.597947824)",1,0,0
67115,11/25/2022 02:00:00 PM,AUTOMOBILE,STREET,False,20.0,47.0,4.0,"(41.972862249, -87.676312193)",1,1,0
74052,11/21/2005 02:00:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,6.0,21.0,71.0,"(41.746455816, -87.649987947)",1,0,0
51492,05/15/2022 04:30:00 AM,AUTOMOBILE,STREET,False,2.0,3.0,38.0,"(41.802007569, -87.622242931)",1,0,0
302338,03/29/2011 12:00:00 PM,AUTOMOBILE,STREET,False,9.0,14.0,58.0,"(41.819476694, -87.704417648)",1,0,0
112176,12/29/2007 01:00:00 PM,AUTOMOBILE,STREET,False,8.0,18.0,66.0,"(41.767591054, -87.693102884)",1,0,0
410042,08/20/2020 03:30:00 PM,AUTOMOBILE,PARKINGZONE,False,4.0,7.0,43.0,"(41.758060867, -87.562715654)",1,0,0
304860,07/31/2011 05:45:00 PM,AUTOMOBILE,STORE,False,19.0,32.0,7.0,"(41.932491487, -87.662904644)",1,0,0
335620,07/03/2013 08:00:00 AM,AUTOMOBILE,STREET,False,19.0,44.0,6.0,"(41.945939704, -87.668836294)",1,0,0
297597,04/30/2011 02:45:00 PM,AUTOMOBILE,PARKINGZONE,False,2.0,3.0,40.0,"(41.797704412, -87.625778181)",1,0,0
342076,01/29/2010 09:00:00 AM,AUTOMOBILE,STREET,False,8.0,23.0,56.0,"(41.787575548, -87.790180913)",1,0,0
111900,09/05/2007 11:00:00 PM,AUTOMOBILE,STREET,False,1.0,42.0,32.0,"(41.887765041, -87.625696039)",1,0,0
180912,04/17/2002 01:00:00 AM,AUTOMOBILE,STREET,False,2.0,3.0,38.0,"(41.803058246, -87.61337019)",1,0,0
110356,09/10/2007 06:20:00 AM,AUTOMOBILE,STREET,False,6.0,6.0,44.0,"(41.750456492, -87.624534565)",1,0,0
391041,05/06/2018 02:30:00 AM,AUTOMOBILE,STREET,False,7.0,6.0,68.0,"(41.769703286, -87.643183189)",1,0,0
348215,05/14/2014 12:00:00 PM,AUTOMOBILE,STREET,False,22.0,34.0,73.0,"(41.702536488, -87.652423302)",1,0,0
120311,05/06/2008 10:00:00 PM,AUTOMOBILE,STREET,False,6.0,21.0,71.0,"(41.740876714, -87.648618085)",1,0,0
334549,05/31/2013 07:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,3.0,20.0,42.0,"(41.785018995, -87.609703726)",1,1,0
280028,12/11/2009 01:00:00 PM,AUTOMOBILE,STREET,False,14.0,1.0,22.0,"(41.914785581, -87.697119305)",1,0,0
78197,01/23/2006 10:40:00 PM,AUTOMOBILE,STREET,False,16.0,41.0,10.0,"(41.970083161, -87.806309837)",1,0,0
143101,07/08/2023 08:15:00 PM,AUTOMOBILE,HOUSE,False,11.0,24.0,27.0,"(41.87089651, -87.711572749)",1,1,0
31233,11/10/2005 07:50:00 AM,AUTOMOBILE,STREET,False,15.0,29.0,25.0,"(41.88896632, -87.773791426)",1,0,0
288027,09/10/2010 11:00:00 PM,AUTOMOBILE,STREET,False,25.0,30.0,21.0,"(41.93460084, -87.725853732)",1,0,0
276235,12/05/2009 06:50:00 PM,AUTOMOBILE,STREET,False,14.0,35.0,21.0,"(41.932507115, -87.713043828)",1,0,0
271500,12/02/2009 11:00:00 PM,AUTOMOBILE,STREET,False,22.0,34.0,75.0,"(41.689324581, -87.657886055)",1,0,0
378993,04/28/2017 09:30:00 PM,AUTOMOBILE,STREET,False,5.0,34.0,53.0,"(41.679082279, -87.633503507)",1,0,0
35750,03/08/2021 02:00:00 PM,AUTOMOBILE,STREET,False,3.0,20.0,40.0,"(41.784876685, -87.618974609)",1,0,0
323886,04/23/2012 01:00:00 AM,AUTOMOBILE,HOUSE,False,15.0,28.0,25.0,"(41.883023947, -87.756381654)",1,0,0
190897,10/18/2002 12:49:24 AM,"TRUCK, BUS, MOTOR HOME",PARKINGZONE,False,11.0,28.0,26.0,"(41.876910723, -87.739876309)",1,0,0
114657,02/09/2008 08:00:00 PM,AUTOMOBILE,STREET,False,22.0,21.0,71.0,"(41.734420036, -87.671687872)",1,0,0
99068,02/01/2007 12:00:00 AM,AUTOMOBILE,STREET,False,15.0,28.0,25.0,"(41.886677538, -87.746289876)",1,0,0
112673,03/12/2008 10:00:00 AM,AUTOMOBILE,STREET,False,7.0,17.0,67.0,"(41.768130601, -87.66026386)",1,0,0
338708,12/30/2013 10:07:00 AM,AUTOMOBILE,STREET,False,3.0,6.0,69.0,"(41.765241985, -87.611623142)",1,0,0
53205,08/30/2022 12:30:00 AM,AUTOMOBILE,CAR,False,3.0,20.0,69.0,"(41.773412339, -87.622723836)",1,1,0
369425,09/07/2016 09:00:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,2.0,3.0,38.0,"(41.823704813, -87.627300739)",1,0,0
135640,04/28/2023 09:30:00 PM,AUTOMOBILE,STREET,False,12.0,34.0,28.0,"(41.881655151, -87.655056417)",1,0,0
350060,10/20/2014 05:00:00 AM,AUTOMOBILE,STREET,False,5.0,8.0,50.0,"(41.719966445, -87.593503855)",1,1,0
176851,05/19/2002 07:30:00 AM,AUTOMOBILE,STREET,False,10.0,22.0,30.0,"(41.837580265, -87.730445488)",1,0,0
133863,05/22/2023 11:00:00 PM,AUTOMOBILE,STREET,False,25.0,37.0,25.0,"(41.913088446, -87.76103412)",1,0,0
227809,05/08/2004 08:30:00 PM,AUTOMOBILE,STREET,False,10.0,22.0,30.0,"(41.840287904, -87.712239797)",1,0,0
335551,04/22/2013 09:15:00 PM,"CYCLE, SCOOTER, BIKE",STREET,False,12.0,25.0,31.0,"(41.854977933, -87.671933383)",1,0,0
366464,03/23/2016 11:38:00 AM,AUTOMOBILE,HOUSE,False,11.0,28.0,27.0,"(41.880929722, -87.709591684)",1,0,0
108480,09/10/2007 11:30:00 PM,AUTOMOBILE,STREET,False,17.0,39.0,13.0,"(41.98384867, -87.712556762)",1,0,0
34260,11/07/2020 12:20:00 AM,AUTOMOBILE,STREET,False,6.0,18.0,71.0,"(41.748406978, -87.673933573)",1,0,0
314914,12/30/2011 09:00:00 PM,AUTOMOBILE,STREET,False,20.0,48.0,3.0,"(41.973626775, -87.660954623)",1,0,0
54073,09/22/2022 11:15:00 AM,AUTOMOBILE,STREET,False,2.0,3.0,38.0,"(41.81061931, -87.624495288)",1,1,0
206251,07/05/2003 05:30:00 AM,AUTOMOBILE,STREET,False,2.0,5.0,41.0,"(41.789086467, -87.603699294)",1,0,0
107582,10/16/2007 12:00:00 PM,AUTOMOBILE,STREET,False,10.0,28.0,29.0,"(41.861574066, -87.695025949)",1,0,0
229155,06/21/2004 09:00:00 AM,AUTOMOBILE,STREET,False,7.0,17.0,67.0,"(41.767816575, -87.661469486)",1,0,0
371695,09/25/2016 07:26:00 AM,AUTOMOBILE,STREET,False,5.0,9.0,54.0,"(41.656967335, -87.611592734)",1,0,1
27704,08/07/2024 10:05:00 PM,AUTOMOBILE,STREET,False,18.0,43.0,7.0,"(41.919189003, -87.643698558)",1,1,0
311824,12/01/2011 03:00:00 AM,AUTOMOBILE,STREET,False,9.0,14.0,58.0,"(41.80773896, -87.697853114)",1,0,0
95807,02/03/2007 10:00:00 AM,AUTOMOBILE,STREET,False,6.0,6.0,44.0,"(41.748704971, -87.621321666)",1,0,0
97766,03/29/2007 12:30:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,4.0,8.0,45.0,"(41.739542666, -87.596228771)",1,0,0
38420,08/05/2021 05:00:00 PM,AUTOMOBILE,STREET,False,3.0,20.0,69.0,"(41.772121953, -87.618650577)",1,0,0
119077,04/23/2008 04:00:00 PM,AUTOMOBILE,STREET,False,8.0,16.0,63.0,"(41.792927516, -87.691339961)",1,0,0
186236,08/15/2002 09:30:00 PM,AUTOMOBILE,STREET,False,20.0,46.0,3.0,"(41.974607781, -87.660712621)",1,0,0
122772,06/06/2008 10:00:00 AM,AUTOMOBILE,STREET,False,17.0,35.0,16.0,"(41.952557164, -87.717779316)",1,0,0
99173,12/21/2006 10:30:00 PM,AUTOMOBILE,STREET,False,8.0,23.0,64.0,"(41.77395768, -87.78484442)",1,0,0
405726,02/06/2020 09:00:00 AM,AUTOMOBILE,HOUSE,False,12.0,1.0,24.0,"(41.902664473, -87.672370835)",1,0,0
320482,04/20/2012 12:01:00 AM,AUTOMOBILE,STREET,False,4.0,8.0,45.0,"(41.750748794, -87.588320422)",1,0,0
85666,06/11/2006 09:45:00 AM,AUTOMOBILE,STREET,False,8.0,15.0,66.0,"(41.780092701, -87.698294798)",1,0,0
177966,05/04/2002 09:00:00 AM,AUTOMOBILE,STREET,False,6.0,21.0,49.0,"(41.725345318, -87.626642265)",1,0,0
230441,06/01/2004 08:00:00 PM,AUTOMOBILE,STREET,False,18.0,43.0,7.0,"(41.911594232, -87.643449667)",1,0,0
309603,08/01/2011 11:00:00 PM,AUTOMOBILE,STREET,False,11.0,24.0,27.0,"(41.872634256, -87.71678069)",1,0,0
95974,03/21/2007 03:00:00 PM,"TRUCK, BUS, MOTOR HOME",Alcohol,False,12.0,26.0,24.0,"(41.890923968, -87.670828148)",1,0,0
368169,02/05/2016 04:00:00 AM,AUTOMOBILE,STREET,False,9.0,14.0,58.0,"(41.819064459, -87.700312845)",1,0,0
217793,03/20/2004 04:00:00 AM,AUTOMOBILE,STREET,False,8.0,18.0,70.0,"(41.742483093, -87.702974659)",1,0,0
237119,08/29/2004 02:00:00 PM,AUTOMOBILE,STREET,False,1.0,2.0,32.0,"(41.87283261, -87.633593313)",1,0,0
64840,11/13/2022 02:30:00 PM,AUTOMOBILE,STREET,False,6.0,21.0,71.0,"(41.747024577, -87.641846738)",1,0,0
22494,05/19/2024 03:00:00 PM,AUTOMOBILE,STREET,False,16.0,45.0,15.0,"(41.957968062, -87.748621405)",1,1,0
229368,05/04/2004 06:00:00 PM,AUTOMOBILE,STREET,False,9.0,11.0,59.0,"(41.831535795, -87.681421436)",1,0,0
229970,01/15/2004 09:00:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,1.0,2.0,28.0,"(41.874146215, -87.643881908)",1,0,0
128275,10/04/2008 09:00:00 PM,AUTOMOBILE,STREET,False,7.0,15.0,67.0,"(41.789767961, -87.676619422)",1,0,0
46068,08/11/2021 12:00:00 AM,AUTOMOBILE,STORE,False,14.0,32.0,22.0,"(41.916752398, -87.67030021)",1,0,0
118043,01/13/2008 12:25:00 PM,AUTOMOBILE,STREET,False,11.0,28.0,26.0,"(41.877110187, -87.723989719)",1,0,0
271165,07/25/2009 08:00:00 AM,AUTOMOBILE,STREET,False,19.0,32.0,7.0,"(41.926080221, -87.666543607)",1,0,0
86760,08/21/2006 11:00:00 AM,AUTOMOBILE,STREET,False,17.0,39.0,16.0,"(41.955540908, -87.723066711)",1,0,0
324780,06/23/2012 04:00:00 AM,AUTOMOBILE,STREET,False,25.0,37.0,25.0,"(41.910884109, -87.752692102)",1,0,0
278075,04/15/2010 12:00:00 PM,"TRUCK, BUS, MOTOR HOME",STREET,False,25.0,31.0,20.0,"(41.928454854, -87.731791834)",1,0,0
119452,05/13/2008 01:00:00 AM,AUTOMOBILE,STREET,False,10.0,28.0,30.0,"(41.852871362, -87.691460302)",1,0,0
96062,04/13/2007 12:00:00 AM,AUTOMOBILE,STREET,False,6.0,6.0,69.0,"(41.751270235, -87.605883115)",1,0,0
386085,11/20/2017 12:00:00 AM,AUTOMOBILE,HOUSE,False,11.0,28.0,29.0,"(41.868302116, -87.698832368)",1,0,0
407817,08/03/2020 11:52:00 PM,AUTOMOBILE,STREET,False,2.0,3.0,40.0,"(41.794678414, -87.623262756)",1,0,0
78465,07/19/2005 06:55:00 PM,AUTOMOBILE,PARKINGZONE,False,2.0,4.0,36.0,"(41.823765029, -87.603133265)",1,0,0
258038,11/13/2008 07:00:00 PM,AUTOMOBILE,STREET,False,25.0,31.0,19.0,"(41.915993062, -87.748207417)",1,1,0
192349,10/09/2002 10:15:00 PM,AUTOMOBILE,STREET,False,24.0,50.0,2.0,"(41.992603342, -87.703113457)",1,0,0
310631,07/11/2011 10:30:00 PM,AUTOMOBILE,PARKINGZONE,False,4.0,8.0,48.0,"(41.732730806, -87.585114125)",1,0,0
66381,09/26/2022 07:00:00 PM,AUTOMOBILE,STREET,False,7.0,6.0,68.0,"(41.775248278, -87.647101465)",1,0,0
74964,01/26/2006 06:45:00 PM,AUTOMOBILE,STREET,False,9.0,3.0,37.0,"(41.808148794, -87.633336667)",1,0,0
367424,04/28/2016 10:00:00 AM,AUTOMOBILE,STREET,False,7.0,15.0,67.0,"(41.773975882, -87.666841932)",1,0,0
60227,09/26/2022 03:00:00 PM,AUTOMOBILE,STREET,False,4.0,8.0,46.0,"(41.751030831, -87.572313344)",1,0,0
297060,05/19/2011 09:40:00 PM,AUTOMOBILE,STREET,False,25.0,36.0,19.0,"(41.937423811, -87.784548556)",1,0,0
84788,05/20/2006 01:00:00 AM,AUTOMOBILE,STREET,False,9.0,3.0,61.0,"(41.794371454, -87.64131605)",1,0,0
79004,01/20/2006 10:00:00 PM,AUTOMOBILE,STREET,False,8.0,23.0,64.0,"(41.778280964, -87.749952227)",1,0,0
212094,08/25/2003 04:00:00 AM,AUTOMOBILE,STREET,False,25.0,31.0,19.0,"(41.93136055, -87.759588227)",1,0,0
329897,11/14/2012 09:00:00 PM,AUTOMOBILE,STREET,False,22.0,21.0,71.0,"(41.733424742, -87.637460604)",1,0,0
309752,10/26/2011 07:30:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,11.0,28.0,27.0,"(41.884852262, -87.714852757)",1,0,0
319708,08/08/2012 06:45:00 PM,AUTOMOBILE,HOUSE,False,2.0,4.0,41.0,"(41.800354548, -87.602845309)",1,1,0
28951,08/25/2024 06:00:00 PM,AUTOMOBILE,STREET,False,8.0,16.0,66.0,"(41.771204571, -87.687091578)",1,0,1
215318,09/03/2003 08:00:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,4.0,10.0,55.0,"(41.645795847, -87.542472012)",1,0,0
76768,01/12/2006 08:00:00 PM,AUTOMOBILE,STREET,False,9.0,16.0,61.0,"(41.800982911, -87.676934029)",1,0,0
287989,10/05/2010 10:00:00 PM,AUTOMOBILE,STREET,False,6.0,9.0,49.0,"(41.725550708, -87.613748962)",1,0,0
263912,05/10/2009 03:00:00 PM,AUTOMOBILE,STREET,False,4.0,7.0,46.0,"(41.740341738, -87.559977939)",1,0,0
113102,03/21/2008 03:00:00 AM,AUTOMOBILE,STREET,False,17.0,35.0,21.0,"(41.941658254, -87.71747616)",1,0,0
224170,01/07/2004 12:00:00 AM,"TRUCK, BUS, MOTOR HOME",STREET,False,4.0,7.0,43.0,"(41.756658247, -87.56390158)",1,0,0
335658,03/31/2013 10:30:00 PM,AUTOMOBILE,STREET,False,11.0,27.0,23.0,"(41.892837215, -87.710136954)",1,0,0
